candidate_id,window_id,day,clock_time_range,proposed_querying_user,proposed_question_natural_language,proposed_answer,source_A,source_A_observation,source_B,source_B_observation,static_source_if_any,static_observation,A_only_sufficient,B_only_sufficient,static_only_sufficient,A_plus_B_sufficient,A_plus_B_required,why_A_alone_insufficient,why_B_alone_insufficient,why_combination_is_needed,case_type,should_use_as_main_evidence,needs_human_review,notes
R2_001,DAY1_122000000,DAY1,12:20:00.000-12:25:00.000,Allie,"What is the person referring to, and how is it connected to the group or screen context?",TBD after human review.,Allie,Needs human review from focused/contact sheet.,Luca,Needs human review from focused/contact sheet.,Meeting,Needs human review from focused/contact sheet.,unclear,unclear,unclear,unclear,unclear,Unknown until human inspection. Do not mark A insufficient automatically.,Unknown until human inspection. Do not mark B insufficient automatically.,Candidate selected for possible A+B complementarity; manual inspection required.,weak_or_unclear,unclear,yes,speaker/gesture vs screen/content. Round-2 targeted candidate from user-provided window list. Labels are intentionally conservative; manual inspection is required before any true A+B claim. overview_sheet=candidate_true_AB_contact_sheets_round2/overview_round2_R2_001_DAY1_122000000.png; focused_sheet=candidate_true_AB_contact_sheets_round2/focused_AB_round2_R2_001_DAY1_122000000.png; extraction_status=ok
R2_002,DAY1_124000000,DAY1,12:40:00.000-12:45:00.000,Bjorn,"Who handled the object, and where did the object end up?",TBD after human review.,Bjorn,Needs human review from focused/contact sheet.,Onanong,Needs human review from focused/contact sheet.,Meeting,Needs human review from focused/contact sheet.,unclear,unclear,unclear,unclear,unclear,Unknown until human inspection. Do not mark A insufficient automatically.,Unknown until human inspection. Do not mark B insufficient automatically.,Candidate selected for possible A+B complementarity; manual inspection required.,weak_or_unclear,unclear,yes,object pickup vs object placement/final state. Round-2 targeted candidate from user-provided window list. Labels are intentionally conservative; manual inspection is required before any true A+B claim. overview_sheet=candidate_true_AB_contact_sheets_round2/overview_round2_R2_002_DAY1_124000000.png; focused_sheet=candidate_true_AB_contact_sheets_round2/focused_AB_round2_R2_002_DAY1_124000000.png; extraction_status=ok
R2_003,DAY2_121500000,DAY2,12:15:00.000-12:20:00.000,Florian,"What local action happened, and where in the room did it happen?",TBD after human review.,Florian,Needs human review from focused/contact sheet.,Tien,Needs human review from focused/contact sheet.,Meeting,Needs human review from focused/contact sheet.,unclear,unclear,unclear,unclear,unclear,Unknown until human inspection. Do not mark A insufficient automatically.,Unknown until human inspection. Do not mark B insufficient automatically.,Candidate selected for possible A+B complementarity; manual inspection required.,weak_or_unclear,unclear,yes,ego local action vs static global layout. Round-2 targeted candidate from user-provided window list. Labels are intentionally conservative; manual inspection is required before any true A+B claim. overview_sheet=candidate_true_AB_contact_sheets_round2/overview_round2_R2_003_DAY2_121500000.png; focused_sheet=candidate_true_AB_contact_sheets_round2/focused_AB_round2_R2_003_DAY2_121500000.png; extraction_status=ok
R2_004,DAY2_142000000,DAY2,14:20:00.000-14:25:00.000,Florian,"Which person or object is involved, and where is it located in the room?",TBD after human review.,Florian,Needs human review from focused/contact sheet.,Tien,Needs human review from focused/contact sheet.,Meeting,Needs human review from focused/contact sheet.,unclear,unclear,unclear,unclear,unclear,Unknown until human inspection. Do not mark A insufficient automatically.,Unknown until human inspection. Do not mark B insufficient automatically.,Candidate selected for possible A+B complementarity; manual inspection required.,weak_or_unclear,unclear,yes,person/object identity vs room/location. Round-2 targeted candidate from user-provided window list. Labels are intentionally conservative; manual inspection is required before any true A+B claim. overview_sheet=candidate_true_AB_contact_sheets_round2/overview_round2_R2_004_DAY2_142000000.png; focused_sheet=candidate_true_AB_contact_sheets_round2/focused_AB_round2_R2_004_DAY2_142000000.png; extraction_status=ok
R2_005,DAY2_164000000,DAY2,16:40:00.000-16:45:00.000,Klaus,"What is the person referring to, and how is it connected to the group or screen context?",TBD after human review.,Klaus,Needs human review from focused/contact sheet.,Allie,Needs human review from focused/contact sheet.,Meeting,Needs human review from focused/contact sheet.,unclear,unclear,unclear,unclear,unclear,Unknown until human inspection. Do not mark A insufficient automatically.,Unknown until human inspection. Do not mark B insufficient automatically.,Candidate selected for possible A+B complementarity; manual inspection required.,weak_or_unclear,unclear,yes,speaker/gesture vs screen/content. Round-2 targeted candidate from user-provided window list. Labels are intentionally conservative; manual inspection is required before any true A+B claim. overview_sheet=candidate_true_AB_contact_sheets_round2/overview_round2_R2_005_DAY2_164000000.png; focused_sheet=candidate_true_AB_contact_sheets_round2/focused_AB_round2_R2_005_DAY2_164000000.png; extraction_status=ok
R2_006,DAY2_171500000,DAY2,17:15:00.000-17:20:00.000,Onanong,"Who handled the object, and where did the object end up?",TBD after human review.,Onanong,Needs human review from focused/contact sheet.,Cathal,Needs human review from focused/contact sheet.,Meeting,Needs human review from focused/contact sheet.,unclear,unclear,unclear,unclear,unclear,Unknown until human inspection. Do not mark A insufficient automatically.,Unknown until human inspection. Do not mark B insufficient automatically.,Candidate selected for possible A+B complementarity; manual inspection required.,weak_or_unclear,unclear,yes,object pickup vs object placement/final state. Round-2 targeted candidate from user-provided window list. Labels are intentionally conservative; manual inspection is required before any true A+B claim. overview_sheet=candidate_true_AB_contact_sheets_round2/overview_round2_R2_006_DAY2_171500000.png; focused_sheet=candidate_true_AB_contact_sheets_round2/focused_AB_round2_R2_006_DAY2_171500000.png; extraction_status=ok
R2_007,DAY3_122500000,DAY3,12:25:00.000-12:30:00.000,Onanong,"What local action happened, and where in the room did it happen?",TBD after human review.,Onanong,Needs human review from focused/contact sheet.,Bjorn,Needs human review from focused/contact sheet.,Meeting,Needs human review from focused/contact sheet.,unclear,unclear,unclear,unclear,unclear,Unknown until human inspection. Do not mark A insufficient automatically.,Unknown until human inspection. Do not mark B insufficient automatically.,Candidate selected for possible A+B complementarity; manual inspection required.,weak_or_unclear,unclear,yes,ego local action vs static global layout. Round-2 targeted candidate from user-provided window list. Labels are intentionally conservative; manual inspection is required before any true A+B claim. overview_sheet=candidate_true_AB_contact_sheets_round2/overview_round2_R2_007_DAY3_122500000.png; focused_sheet=candidate_true_AB_contact_sheets_round2/focused_AB_round2_R2_007_DAY3_122500000.png; extraction_status=ok
R2_008,DAY3_131500000,DAY3,13:15:00.000-13:20:00.000,Stevan,"Which person or object is involved, and where is it located in the room?",TBD after human review.,Stevan,Needs human review from focused/contact sheet.,Cathal,Needs human review from focused/contact sheet.,Meeting,Needs human review from focused/contact sheet.,unclear,unclear,unclear,unclear,unclear,Unknown until human inspection. Do not mark A insufficient automatically.,Unknown until human inspection. Do not mark B insufficient automatically.,Candidate selected for possible A+B complementarity; manual inspection required.,weak_or_unclear,unclear,yes,person/object identity vs room/location. Round-2 targeted candidate from user-provided window list. Labels are intentionally conservative; manual inspection is required before any true A+B claim. overview_sheet=candidate_true_AB_contact_sheets_round2/overview_round2_R2_008_DAY3_131500000.png; focused_sheet=candidate_true_AB_contact_sheets_round2/focused_AB_round2_R2_008_DAY3_131500000.png; extraction_status=ok
R2_009,DAY4_122000000,DAY4,12:20:00.000-12:25:00.000,Stevan,"What is the person referring to, and how is it connected to the group or screen context?",TBD after human review.,Stevan,Needs human review from focused/contact sheet.,Cathal,Needs human review from focused/contact sheet.,Meeting,Needs human review from focused/contact sheet.,unclear,unclear,unclear,unclear,unclear,Unknown until human inspection. Do not mark A insufficient automatically.,Unknown until human inspection. Do not mark B insufficient automatically.,Candidate selected for possible A+B complementarity; manual inspection required.,weak_or_unclear,unclear,yes,speaker/gesture vs screen/content. Round-2 targeted candidate from user-provided window list. Labels are intentionally conservative; manual inspection is required before any true A+B claim. overview_sheet=candidate_true_AB_contact_sheets_round2/overview_round2_R2_009_DAY4_122000000.png; focused_sheet=candidate_true_AB_contact_sheets_round2/focused_AB_round2_R2_009_DAY4_122000000.png; extraction_status=ok
R2_010,DAY4_132500000,DAY4,13:25:00.000-13:30:00.000,Werner,"Who handled the object, and where did the object end up?",TBD after human review.,Werner,Needs human review from focused/contact sheet.,Florian,Needs human review from focused/contact sheet.,Meeting,Needs human review from focused/contact sheet.,unclear,unclear,unclear,unclear,unclear,Unknown until human inspection. Do not mark A insufficient automatically.,Unknown until human inspection. Do not mark B insufficient automatically.,Candidate selected for possible A+B complementarity; manual inspection required.,weak_or_unclear,unclear,yes,object pickup vs object placement/final state. Round-2 targeted candidate from user-provided window list. Labels are intentionally conservative; manual inspection is required before any true A+B claim. overview_sheet=candidate_true_AB_contact_sheets_round2/overview_round2_R2_010_DAY4_132500000.png; focused_sheet=candidate_true_AB_contact_sheets_round2/focused_AB_round2_R2_010_DAY4_132500000.png; extraction_status=ok
