visual_case_id,source_split,dataset_case_id,question_id,question,answer,category,expected_result,current_only_answerability,current_plus_history_answerability,current_plus_history_gain,reason_selected_for_visual_audit
VA_DEMO_001,demo,DV01_DEMO_001,1078,Why did Shure laugh when Katrina mentioned her voice messages?,Shure remembered he had similar embarrassing experiences.,theory_of_mind,current_plus_history_better,unclear,likely_answerable,yes,demo set full inclusion for visual audit
VA_DEMO_002,demo,DV01_DEMO_002,617,What decision-making role did Jake take in the group task involving glasses?,Coordinator who managed roles and responsibilities.,task_coordination,current_plus_history_better,unclear,likely_answerable,yes,demo set full inclusion for visual audit
VA_DEMO_003,demo,DV01_DEMO_003,313,"When Katrina discussed her breakup, how did the group mostly respond?",They offered different speculations about her ex’s intentions.,social_interaction,current_plus_history_better,partially_answerable,likely_answerable,yes,demo set full inclusion for visual audit
VA_DEMO_004,demo,DV01_DEMO_004,1040,Who incorrectly assumed everyone would want an auction group of four items?,"Others, in a majority vote during the debate",theory_of_mind,current_plus_history_better,unclear,likely_answerable,yes,demo set full inclusion for visual audit
VA_DEMO_005,demo,DV01_DEMO_005,982,Why didn't Katrina seem fully involved in the conversation about renting costumes during 18:23?,Katrina expressed doubts about everyone's participation being practical.,theory_of_mind,current_plus_history_better,unclear,likely_answerable,yes,demo set full inclusion for visual audit
VA_DEMO_006,demo,DV01_DEMO_006,1073,Why did Jake smile and respond to Nicous by referring to a 'national guardian'?,He believed Nicous was talking about a donation program.,theory_of_mind,current_plus_history_better,unclear,likely_answerable,yes,demo set full inclusion for visual audit
VA_DEMO_007,demo,DV01_DEMO_007,523,What supported the collaborative mood around the cake task?,Team celebrations and applause at key milestones.,task_coordination,current_plus_history_better,unclear,likely_answerable,yes,demo set full inclusion for visual audit
VA_DEMO_008,demo,DV01_DEMO_008,437,How did Jake contribute to the group's tasks during the time Shure prepared coffee?,Carrying and rearranging tables alongside Nicous,task_coordination,current_plus_history_better,unclear,likely_answerable,yes,demo set full inclusion for visual audit
VA_DEMO_009,demo,DV01_DEMO_009,433,Why did they decide on having transition shots in the choreography?,To ensure smooth flow between different members’ solos,task_coordination,current_plus_history_better,unclear,likely_answerable,yes,demo set full inclusion for visual audit
VA_DEMO_010,demo,DV01_DEMO_010,419,How was coordination handled in dividing cleanup responsibilities?,Jake contacted the housekeeper to address the issue.,task_coordination,current_plus_history_better,unclear,likely_answerable,yes,demo set full inclusion for visual audit
VA_EVAL_001,eval_lite,DV01_EVAL_005,20,Who laughed the most during the conversation about who the water bottle belonged to?,It was mostly Jake who found it hilarious.,social_interaction,current_plus_history_better,partially_answerable,likely_answerable,yes,"eval-lite diversity sample: category=social_interaction; pattern=current_plus_history_gain|current_plus_history_better|gain=yes|cur=30sec|hist=10min,30sec"
VA_EVAL_002,eval_lite,DV01_EVAL_024,408,Who led the meeting while balancing other tasks simultaneously?,Tasha organized participants' attendance while managing chats.,task_coordination,current_plus_history_better,partially_answerable,likely_answerable,yes,"eval-lite diversity sample: category=task_coordination; pattern=current_plus_history_gain|current_plus_history_better|gain=yes|cur=10min,30sec|hist=10min,30sec"
VA_EVAL_003,eval_lite,DV01_EVAL_009,871,What misunderstanding did Shure and Violet have about the travel timings?,They disagreed on the duration and transfers required for a particular trip.,theory_of_mind,current_plus_history_better,partially_answerable,likely_answerable,yes,"eval-lite diversity sample: category=theory_of_mind; pattern=current_plus_history_gain|current_plus_history_better|gain=yes|cur=10min,30sec|hist=30sec"
VA_EVAL_004,eval_lite,DV01_EVAL_020,1396,Who watched television the most on DAY3?,Shure,environmental_interaction,current_plus_history_may_help_needs_human_check,partially_answerable,partially_answerable,unclear_but_promising,eval-lite diversity sample: category=environmental_interaction; pattern=promising_history_gain|current_plus_history_may_help_needs_human_check|gain=unclear_but_promising|cur=30sec|hist=30sec
VA_EVAL_005,eval_lite,DV01_EVAL_008,615,How did the group divide roles around the projector troubleshooting?,"Jake handled the physical setup, and Lucia played with interactive features.",task_coordination,current_plus_history_better,partially_answerable,likely_answerable,yes,eval-lite diversity sample: category=task_coordination; pattern=current_plus_history_gain|current_plus_history_better|gain=yes|cur=30sec|hist=30sec
VA_CONTROL_001,control,DV01_CONTROL_011,178,Why did Shure say the logo had a 'Cthulhu vibe'?,Because Alice thought it looked like a bird growing a willow tree.,social_interaction,current_only_sufficient,likely_answerable,likely_answerable,no,"current-only sufficient control sample: category=social_interaction; pattern=current_sufficient_control|current_only_sufficient|gain=no|cur=10min,30sec|hist=30sec"
VA_CONTROL_002,control,DV01_CONTROL_003,652,How did the group determine it was possible to set off fireworks for the New Year?,Shure confirmed it was allowed this year.,task_coordination,current_only_sufficient,likely_answerable,likely_answerable,no,current-only sufficient control sample: category=task_coordination; pattern=current_sufficient_control|current_only_sufficient|gain=no|cur=30sec|hist=30sec
VA_CONTROL_003,control,DV01_CONTROL_012,1262,"When Alice was photographing the scene and putting her phone and power bank back, and Shure was heading to the bathroom while on a call, what was Jake doing?",Setting up a reflector in the living room near the dining area.,temporal_reasoning,current_only_sufficient,likely_answerable,likely_answerable,no,"current-only sufficient control sample: category=temporal_reasoning; pattern=current_sufficient_control|current_only_sufficient|gain=no|cur=10min,30sec|hist=10min,30sec"
VA_CONTROL_004,control,DV01_CONTROL_007,995,"Why did Shure’s reaction suggest he was startled when Jake said 'Hi a bit, hi a bit'?",Shure turned to look at Jake after being focused on his computer.,theory_of_mind,current_only_sufficient,likely_answerable,likely_answerable,no,"current-only sufficient control sample: category=theory_of_mind; pattern=current_sufficient_control|current_only_sufficient|gain=no|cur=10min,30sec|hist=30sec"
VA_CONTROL_005,control,DV01_CONTROL_009,206,What made everyone laugh when Nicous was telling a story about his experience at the KTV?,Nicous accidentally recorded the wrong song in the KTV.,social_interaction,current_only_sufficient,likely_answerable,likely_answerable,no,"current-only sufficient control sample: category=social_interaction; pattern=current_sufficient_control|current_only_sufficient|gain=no|cur=10min,30sec|hist=10min,30sec"
